# slab z_center T average_particle_count
0.000000000000000000e+00 -9.589627838134765270e+00 6.987265626867310564e-01 3.849700598802395035e+01
1.000000000000000000e+00 -8.580193328857422586e+00 7.210038664157392141e-01 3.875449101796407092e+01
2.000000000000000000e+00 -7.570758819580078125e+00 7.083588814514972798e-01 3.851696606786427424e+01
3.000000000000000000e+00 -6.561324310302733664e+00 7.112499400767045010e-01 3.846706586826347518e+01
4.000000000000000000e+00 -5.551889801025390092e+00 7.230883936109809840e-01 3.830738522954091962e+01
5.000000000000000000e+00 -4.542455291748046520e+00 7.236799083271676647e-01 3.829740518962076123e+01
6.000000000000000000e+00 -3.533020782470702947e+00 7.250158889162189313e-01 3.807784431137724823e+01
7.000000000000000000e+00 -2.523586273193359375e+00 7.260975869506441915e-01 3.831736526946107801e+01
8.000000000000000000e+00 -1.514151763916014914e+00 7.390860964156898971e-01 3.798403193612774231e+01
9.000000000000000000e+00 -5.047172546386722303e-01 7.299383136850593479e-01 3.821956087824351300e+01
1.000000000000000000e+01 5.047172546386722303e-01 7.328538316593725677e-01 3.850698602794410874e+01
1.100000000000000000e+01 1.514151763916016691e+00 7.280077073255635245e-01 3.819560878243513002e+01
1.200000000000000000e+01 2.523586273193359375e+00 7.209260016737185639e-01 3.858882235528942317e+01
1.300000000000000000e+01 3.533020782470703836e+00 7.124152767348997939e-01 3.849500998003991725e+01
1.400000000000000000e+01 4.542455291748048296e+00 7.110355957415563921e-01 3.833532934131736880e+01
1.500000000000000000e+01 5.551889801025390980e+00 7.117743471508704012e-01 3.865469061876247281e+01
1.600000000000000000e+01 6.561324310302733664e+00 7.159955843263040576e-01 3.849301397205589126e+01
1.700000000000000000e+01 7.570758819580078125e+00 7.066061787102788649e-01 3.831936127744511111e+01
1.800000000000000000e+01 8.580193328857422586e+00 7.057844120219036732e-01 3.850499001996008275e+01
1.900000000000000000e+01 9.589627838134767046e+00 7.075526982324462644e-01 3.846706586826347518e+01
